['2', '61.64361', '-96.38635', '179.0622', '-0.4562416', '97.12134', '3.590854', '2.4', '10020', '10']
['2.016', '64.90488', '-96.83053', '180.5411', '-0.4129486', '96.08711', '3.628923', '2.4', '10020', '10']
['2.032', '68.16393', '-97.30964', '182.1837', '-0.3898773', '94.92476', '3.66548', '2.4', '10020', '10']
['2.048', '71.42459', '-97.82512', '183.9922', '-0.3720245', '93.63029', '3.696334', '2.4', '10020', '10']
['2.064', '74.66418', '-98.35883', '185.9432', '-0.3639221', '92.22061', '3.708164', '2.4', '10020', '10']
['2.08', '77.74406', '-98.80356', '187.8988', '-0.3631325', '90.70958', '3.68254', '2.4', '10020', '10']
['2.096', '80.49092', '-99.0023', '189.7532', '-0.3617249', '89.049', '3.573095', '2.4', '10020', '10']
['2.112', '82.85738', '-98.90744', '191.4943', '-0.3625488', '87.21229', '3.364677', '2.4', '10020', '10']
['2.128', '84.84329', '-98.51984', '193.1196', '-0.3649521', '85.21641', '3.060384', '2.4', '10020', '10']
['2.144', '86.44963', '-97.83858', '194.6256', '-0.3689003', '83.04785', '2.660614', '2.4', '10020', '10']
['2.16', '87.67268', '-96.86211', '196.0141', '-0.3754578', '80.70021', '2.166485', '2.4', '10020', '10']
['2.176', '88.51726', '-95.59539', '197.2822', '-0.3813629', '78.18462', '1.577031', '2.4', '10020', '10']
['2.192', '88.98115', '-94.03676', '198.4378', '-0.3901176', '75.50217', '0.8932536', '2.4', '10020', '10']
['2.208', '89.08044', '-92.18765', '199.4836', '-0.4011726', '72.63885', '0.120568', '2.4', '10020', '10']
['2.224', '88.93398', '-90.09239', '200.4785', '-0.4137039', '69.58012', '-0.7359759', '2.4', '10020', '10']
['2.24', '88.72414', '-87.9327', '201.4754', '-0.4250679', '66.48517', '-1.61242', '2.4', '10020', '10']
['2.256', '88.52934', '-85.94033', '202.3962', '-0.4341316', '63.62385', '-2.422424', '2.4', '10020', '10']
['2.272', '88.35658', '-84.18537', '203.1987', '-0.4420624', '61.08996', '-3.14171', '2.4', '10020', '10']
['2.288', '88.20442', '-82.65838', '203.8994', '-0.4488945', '58.88356', '-3.767258', '2.4', '10020', '10']
['2.304', '88.07671', '-81.36342', '204.4937', '-0.4535294', '57.0094', '-4.301994', '2.4', '10020', '10']
['2.32', '87.97048', '-80.30105', '204.9784', '-0.4586449', '55.46564', '-4.735687', '2.4', '10020', '10']
['2.336', '87.88678', '-79.46488', '205.3634', '-0.4615974', '54.2519', '-5.078483', '2.4', '10020', '10']
['2.352', '87.82828', '-78.86024', '205.6399', '-0.4637947', '53.37683', '-5.325874', '2.4', '10020', '10']
['2.368', '87.7901', '-78.48627', '205.8094', '-0.4660263', '52.83511', '-5.479308', '2.4', '10020', '10']
['2.384', '87.77451', '-78.32647', '205.8815', '-0.4669533', '52.5999', '-5.544096', '2.4', '10020', '10']
['2.4', '87.77252', '-78.30269', '205.8887', '-0.4671593', '52.55176', '-5.555859', '2.4', '10020', '10']
['2.416', '87.77183', '-78.30357', '205.8876', '-0.4675713', '52.5485', '-5.55722', '2.719', '10020', '20']
['2.432', '87.77177', '-78.29428', '205.8992', '-0.4676056', '52.53013', '-5.55796', '2.719', '10020', '20']
['2.448', '87.77149', '-78.22337', '205.9971', '-0.4684639', '52.347', '-5.557354', '2.719', '10020', '20']
['2.464', '87.76881', '-77.98167', '206.3298', '-0.4720345', '51.76535', '-5.556471', '2.719', '10020', '20']
['2.48', '87.76435', '-77.51914', '206.929', '-0.4781113', '50.7178', '-5.552784', '2.719', '10020', '20']
['2.496', '87.757', '-76.81635', '207.7497', '-0.4889259', '49.19856', '-5.544482', '2.719', '10020', '20']
['2.512', '87.74712', '-75.82555', '208.7571', '-0.5051308', '47.2065', '-5.532512', '2.719', '10020', '20']
['2.528', '87.73565', '-74.50537', '209.8902', '-0.5255928', '44.77317', '-5.512014', '2.719', '10020', '20']
['2.544', '87.72185', '-72.91867', '211.0086', '-0.5532646', '42.09848', '-5.48653', '2.719', '10020', '20']
